Date,Open,High,Low,Close,Adj Close,Volume
2023-05-02,28102.740234375,28804.7578125,27973.939453125,28688.349609375,28688.349609375,101819019
2023-05-03,28684.8515625,29163.509765625,28238.3203125,29026.95703125,29026.95703125,158085462
2023-05-04,29025.796875,29291.466796875,28750.984375,28840.74609375,28840.74609375,77956485
2023-05-05,28842.138671875,29681.046875,28833.748046875,29572.978515625,29572.978515625,176356960
2023-05-06,29575.1796875,29790.5703125,28576.041015625,28897.9921875,28897.9921875,161171677
2023-05-07,28897.18359375,29114.5390625,28542.15625,28542.15625,28542.15625,72124503
2023-05-08,28541.93359375,28609.228515625,27419.041015625,27684.90234375,27684.90234375,166469372
2023-05-09,27683.3359375,27777.970703125,27465.0546875,27651.865234375,27651.865234375,52908925
2023-05-10,27654.71875,28253.92578125,27104.046875,27630.875,27630.875,143240418
2023-05-11,27628.21484375,27630.583984375,26829.205078125,27007.78515625,27007.78515625,93809011
2023-05-12,27010.509765625,27042.505859375,26031.654296875,26786.55859375,26786.55859375,173465468
2023-05-13,26782.986328125,26941.8671875,26737.609375,26828.84765625,26828.84765625,65018923
2023-05-14,26827.890625,27108.0078125,26725.78125,26924.2578125,26924.2578125,55365236
2023-05-15,26923.736328125,27604.466796875,26775.484375,27228.7109375,27228.7109375,70125599
2023-05-16,27231.66015625,27278.404296875,26948.65234375,27047.59765625,27047.59765625,67307413
2023-05-17,27047.140625,27396.326171875,26642.658203125,27367.900390625,27367.900390625,95286794
2023-05-18,27366.8203125,27402.71875,26547.8828125,26845.765625,26845.765625,77638429
2023-05-19,26843.224609375,27103.20703125,26799.046875,26902.283203125,26902.283203125,49176063
2023-05-20,26905.4453125,27103.091796875,26862.26171875,27094.3359375,27094.3359375,27611090
2023-05-21,27097.458984375,27211.666015625,26766.47265625,26786.041015625,26786.041015625,39507878
2023-05-22,26784.78125,27023.447265625,26631.9609375,26895.6484375,26895.6484375,49929174
2023-05-23,26895.615234375,27417.171875,26863.56640625,27247.107421875,27247.107421875,65675701
2023-05-24,27246.208984375,27251.482421875,26240.755859375,26412.720703125,26412.720703125,87571615
2023-05-25,26403.982421875,26546.56640625,26013.88671875,26487.9140625,26487.9140625,100356116
2023-05-26,26487.5,26814.58203125,26384.5703125,26735.861328125,26735.861328125,103747581
2023-05-27,26735.59765625,26853.703125,26659.123046875,26850.94921875,26850.94921875,56749474
2023-05-28,26849.087890625,28137.90234375,26811.6484375,28097.13671875,28097.13671875,164331237
2023-05-29,28095.50390625,28312.97265625,27608.59375,27763.458984375,27763.458984375,131579079
2023-05-30,27759.328125,28010.88671875,27670.033203125,27738.888671875,27738.888671875,115455161
2023-05-31,27738.205078125,27808.423828125,26964.361328125,27231.458984375,27231.458984375,134232469
2023-06-01,27233.29296875,27325.962890625,26763.775390625,26841.626953125,26841.626953125,119611841
2023-06-02,26837.8046875,27290.0625,26690.5390625,27270.685546875,27270.685546875,136450974
2023-06-03,27272.27734375,27277.66796875,27028.109375,27092.40234375,27092.40234375,81733744
2023-06-04,27094.025390625,27369.666015625,27020.779296875,27133.962890625,27133.962890625,83899437
2023-06-05,27131.998046875,27136.544921875,25565.16796875,25794.6796875,25794.6796875,184670627
2023-06-06,25794.2421875,27223.03515625,25534.478515625,27184.263671875,27184.263671875,166841554
2023-06-07,27185.13671875,27257.0390625,26236.17578125,26337.734375,26337.734375,163353091
2023-06-08,26339.65625,26701.552734375,26295.39453125,26540.744140625,26540.744140625,96072958
2023-06-09,26542.978515625,26719.51953125,26389.583984375,26477.94140625,26477.94140625,86733678
2023-06-10,26477.470703125,26511.01171875,25493.31640625,25867.0234375,25867.0234375,208684310
2023-06-11,25864.95703125,26154.62109375,25708.48046875,25894.712890625,25894.712890625,76873219
2023-06-12,25895.37109375,26038.333984375,25677.271484375,25902.748046875,25902.748046875,136201960
2023-06-13,25904.822265625,26313.484375,25765.69921875,25893.8046875,25893.8046875,106078458
2023-06-14,25891.841796875,26017.248046875,24901.06640625,25097.873046875,25097.873046875,146919633
2023-06-15,25097.572265625,25618.421875,24829.189453125,25553.3046875,25553.3046875,144622938
2023-06-16,25554.1484375,26400.078125,25316.0234375,26315.806640625,26315.806640625,130827748
2023-06-17,26316.89453125,26717.755859375,26238.818359375,26501.87109375,26501.87109375,119584186
2023-06-18,26499.330078125,26632.83203125,26353.19140625,26357.115234375,26357.115234375,72321341
2023-06-19,26356.2578125,26893.099609375,26326.275390625,26768.57421875,26768.57421875,153426545
2023-06-20,26774.21484375,28305.625,26679.53515625,28290.603515625,28290.603515625,217745828
2023-06-21,28293.279296875,30522.580078125,28259.853515625,30103.38671875,30103.38671875,381448511
2023-06-22,30095.234375,30422.609375,29689.42578125,29927.51171875,29927.51171875,201532071
2023-06-23,29925.712890625,31279.908203125,29847.435546875,30634.947265625,30634.947265625,220945100
2023-06-24,30641.5078125,30745.68359375,30328.9375,30521.87109375,30521.87109375,115095740
2023-06-25,30520.46875,30939.427734375,30384.779296875,30475.04296875,30475.04296875,147705025
2023-06-26,30473.482421875,30555.4140625,29962.892578125,30201.04296875,30201.04296875,167896743
2023-06-27,30204.1015625,30803.2734375,30176.576171875,30626.728515625,30626.728515625,163635381
2023-06-28,30630.44921875,30630.880859375,29932.876953125,30058.5390625,30058.5390625,123790214
2023-06-29,30060.037109375,30741.927734375,30055.064453125,30437.576171875,30437.576171875,119561997
2023-06-30,30433.2421875,31153.23046875,29860.873046875,30456.033203125,30456.033203125,278726897
2023-07-01,30458.833984375,30587.466796875,30279.390625,30585.861328125,30585.861328125,88102677
2023-07-02,30585.90625,30778.76953125,30282.41015625,30616.267578125,30616.267578125,92739035
2023-07-03,30615.908203125,31253.720703125,30595.09765625,31109.3046875,31109.3046875,146766996
2023-07-04,31109.443359375,31283.146484375,30710.65625,30767.845703125,30767.845703125,111503838
2023-07-05,30769.755859375,30862.828125,30271.03515625,30502.13671875,30502.13671875,103010466
2023-07-06,30501.490234375,31342.751953125,29927.931640625,29927.931640625,29927.931640625,154220141
2023-07-07,29933.5703125,30382.423828125,29246.796875,29932.17578125,29932.17578125,89040452
2023-07-08,29925.25,30340.294921875,27944.314453125,28469.171875,28469.171875,42146721
2023-07-09,30585.90625,30778.76953125,30282.41015625,30616.267578125,30616.267578125,92739035
2023-07-10,30615.908203125,31253.720703125,30595.09765625,31109.3046875,31109.3046875,146766996
2023-07-11,31109.443359375,31283.146484375,30710.65625,30767.845703125,30767.845703125,111503838
2023-07-12,30769.755859375,30862.828125,30271.03515625,30502.13671875,30502.13671875,103010466
2023-07-13,30501.490234375,31678.015625,30350.44921875,31450.990234375,31450.990234375,203194113
2023-07-14,31450.88671875,31512.55859375,30036.98828125,30326.248046875,30326.248046875,173986340
2023-07-15,30327.033203125,30376.87109375,30282.68359375,30292.494140625,30292.494140625,72713977
2023-07-16,30292.48828125,30416.921875,30150.123046875,30229.732421875,30229.732421875,64236341
2023-07-17,30227.578125,30318.96484375,29787.171875,30161.853515625,30161.853515625,99369975
2023-07-18,30161.619140625,30214.0625,29689.869140625,29849.69921875,29849.69921875,83872168
2023-07-19,29849.380859375,30143.43359375,29835.642578125,29905.412109375,29905.412109375,65108309
2023-07-20,29907.478515625,30143.134765625,29698.783203125,29809.744140625,29809.744140625,96425561
2023-07-21,29811.1640625,30008.8046875,29765.2578125,29907.275390625,29907.275390625,64973294
2023-07-22,29908.078125,29953.283203125,29675.337890625,29733.171875,29733.171875,61855088
2023-07-23,29741.26171875,30295.44140625,29741.26171875,30050.384765625,30050.384765625,59488675
2023-07-24,30052.611328125,30067.412109375,28997.978515625,29179.1875,29179.1875,103362944
2023-07-25,29179.056640625,29316.890625,29094.71484375,29227.021484375,29227.021484375,43996166
2023-07-26,29229.65625,29637.921875,29142.6171875,29377.953125,29377.953125,102612806
2023-07-27,29379.388671875,29553.34375,29153.140625,29207.830078125,29207.830078125,109309767
